"id","first_name","last_name","email","phone","address","created","modified","status"
"1","Yo","Prueba","prueba@pruebaalgo.com","7678887654","Calle prueba","2023-01-02 15:01:31","2023-01-02 15:01:31","1"
"2","Yo2","Prueba2","yo@vdd.com","78667567567","Calle prueba2","2023-01-02 15:26:15","2023-01-02 15:26:15","1"
"3","Compra ","Mañanera","estarde@xn--tengosueo-s6a.com","45643543523","Calle de la almohada","2023-01-03 07:41:32","2023-01-03 07:41:32","1"
"4","Compra ","sdfsdfs","cuentabombero@gmail.com","34534567435","dqwrfwef wefw eef","2023-01-03 15:55:31","2023-01-03 15:55:31","1"
"5","Compra ","sdfsdfs","cuentabombero@gmail.com","34534567435","dqwrfwef wefw eef","2023-01-03 15:56:57","2023-01-03 15:56:57","1"
"6","Yo2","qweqweqwe","cuentabombero@gmail.com","7665765676","Calle Pedro Cabanes, 81","2023-01-03 15:58:21","2023-01-03 15:58:21","1"
"7","Yo2","qweqweqwe","cuentabombero@gmail.com","7665765676","Calle Pedro Cabanes, 81","2023-01-03 16:08:32","2023-01-03 16:08:32","1"
"8","prue","ba","cuentabombero@gmail.com","35345345","Calle Pedro Cabanes, 43434","2023-01-09 14:56:42","2023-01-09 14:56:42","1"
"9","Yo2","Fran Moreno","cuentabombero@gmail.com","7665765676","Calle Pedro Cabanes, 81","2023-01-10 19:26:05","2023-01-10 19:26:05","1"
"10","Compra ","qweqw","cuentabombero@gmail.com","34534567435","Calle salvaro dali 34","2023-01-18 16:17:10","2023-01-18 16:17:10","1"
"id","customer_id","grand_total","created","status"
"1","1","90.00","2023-01-02 15:01:31","Pending"
"2","2","29.00","2023-01-02 15:26:15","Pending"
"3","3","66.00","2023-01-03 07:41:32","Pending"
"4","4","1.00","2023-01-03 15:55:31","Pending"
"5","5","3.00","2023-01-03 15:56:57","Pending"
"6","6","4.00","2023-01-03 15:58:21","Pending"
"7","7","27.00","2023-01-03 16:08:32","Pending"
"8","8","25.00","2023-01-09 14:56:42","Pending"
"9","9","28.00","2023-01-10 19:26:05","Pending"
"10","10","34.00","2023-01-18 16:17:10","Pending"
"id","order_id","product_id","quantity"
"1","1","6","1"
"2","1","5","4"
"3","1","4","2"
"4","1","7","5"
"5","2","2","1"
"6","2","1","2"
"7","3","8","1"
"8","3","4","1"
"9","3","3","2"
"10","3","2","1"
"11","3","1","4"
"12","4","4","1"
"13","5","7","1"
"14","6","8","1"
"15","7","2","1"
"16","7","1","1"
"17","7","6","1"
"18","8","6","2"
"19","8","2","1"
"20","9","4","1"
"21","9","6","1"
"22","9","2","1"
"23","9","1","1"
"24","10","3","2"
"25","10","2","1"
"26","10","5","1"
"27","10","1","1"
"28","10","4","1"
"id","image","name","description","price","created","modified","status"
"1","youtube.png","Camiseta","Suave","12.00","2023-01-02 15:19:47","2023-01-02 15:19:47","1"
"2",,"Llavero","De GitPet","5.00","2023-01-02 15:23:50","2023-01-02 15:23:50","1"
"3",,"Llavero","No lo pierdas","4.00","2023-01-02 16:45:55","2023-01-02 16:45:55","1"
"4",,"Pin","Llevalo a todas partes","1.00","2023-01-02 20:07:17","2023-01-02 20:07:17","1"
"5",,"Rascador","Para tu gatete","8.00","2023-01-02 20:07:39","2023-01-02 20:07:39","1"
"6",,"Correa","Flexible","10.00","2023-01-02 20:07:56","2023-01-02 20:07:56","1"
